stop_id,stop_name,stop_lat,stop_lon
50286,Çamtepe,38.3924830715021,26.9974510454157
50294,Narlıdere Piknik Yeri,38.394121,26.997263
50042,Şehitlik,38.3957983626637,26.9990310685426
50040,Siteler,38.394928365678,27.002162053436
50038,Köprübaşı,38.3944,27.005
50036,Uludağ,38.394271,27.007738
50034,Narlıdere Cami,38.394,27.012
50032,Narlıdere İtfaiye,38.393833378162,27.015341990153
50030,Balcı,38.3932,27.0204
50028,Güzel Sanatlar Fakültesi,38.392600386612,27.0244009477767
50026,İzsu,38.3925,27.0264
50024,Kantar,38.3927283918878,27.0297509227125
50022,Dokuz Eylül,38.3932,27.0336
30009,Bornova Metro,38.4585668851242,27.2141837844446
31309,Çiçekli,38.47608,27.21695
31311,Emniyet Lojmanları,38.47554,27.21276
31313,Ufuk,38.47469,27.21038
31315,Yüzüncü Yıl Karakolu,38.47657,27.2081
31317,Mavi Köşe,38.47835,27.20625
31319,Seyit Şanlı Anadolu Lisesi,38.4818907166069,27.2042798306499
31321,Hürriyet,38.4851164021334,27.2025556522098
31931,Kardelen Sitesi,38.4876008704257,27.2018997842164
31933,Doğa,38.488323,27.204301
31415,Emek Sitesi,38.4889008936903,27.207899746315
31419,Belediye Evleri,38.489001,27.210527
