route_id,service_id,trip_id,direction_id,wheelchair_accessible,bikes_allowed,shape_id
10,3229,1258120291,0,1,1,110
10,3229,1258120301,0,1,1,110
10,3229,1258120311,0,1,1,110
10,3229,1258120321,0,1,1,110
10,3229,1258110602,1,1,1,210
10,3229,1258110612,1,1,1,210
10,3229,1258110622,1,1,1,210
10,3229,1258110632,1,1,1,210
10,3229,1258110642,1,1,1,210
10,3229,1258110652,1,1,1,210
10,3229,1258110662,1,1,1,210
10,3229,1258110672,1,1,1,210
10,3229,1258110682,1,1,1,210
10,3229,1258110692,1,1,1,210
10,3229,1258110702,1,1,1,210
10,3229,1258110712,1,1,1,210
10,3229,1258110722,1,1,1,210
10,3229,1258120232,1,1,1,210
10,3229,1258120242,1,1,1,210
10,3229,1258120252,1,1,1,210
10,3229,1258120262,1,1,1,210
10,3229,1258120272,1,1,1,210
10,3229,1258120282,1,1,1,210
10,3229,1258120292,1,1,1,210
10,3229,1258120302,1,1,1,210
10,3229,1258120312,1,1,1,210
10,3229,1258120322,1,1,1,210
15,3229,1258086001,0,1,0,115
15,3229,1258086011,0,1,0,115
15,3229,1258086021,0,1,0,115
15,3229,1258086031,0,1,0,115
15,3229,1258086041,0,1,0,115
15,3229,1258086051,0,1,0,115
15,3229,1258086061,0,1,0,115
15,3229,1258086071,0,1,0,115
15,3229,1258086081,0,1,0,115
15,3229,1258086091,0,1,0,115
15,3229,1258086101,0,1,0,115
15,3229,1258086111,0,1,0,115
15,3229,1258086121,0,1,0,115
15,3229,1258086131,0,1,0,115
15,3229,1258086141,0,1,0,115
15,3229,1258086151,0,1,0,115
15,3229,1258086161,0,1,0,115
15,3229,1258086171,0,1,0,115
15,3229,1258086181,0,1,0,115
15,3229,1258086191,0,1,0,115
15,3229,1258086201,0,1,0,115
15,3229,1258086211,0,1,0,115
15,3229,1258086221,0,1,0,115
15,3229,1258086231,0,1,0,115
15,3229,1258086241,0,1,0,115
15,3229,1258086251,0,1,0,115
15,3229,1258086261,0,1,0,115
15,3229,1258086002,1,1,0,215
15,3229,1258086012,1,1,0,215
15,3229,1258086022,1,1,0,215
15,3229,1258086032,1,1,0,215
15,3229,1258086042,1,1,0,215
15,3229,1258086052,1,1,0,215
15,3229,1258086062,1,1,0,215
15,3229,1258086072,1,1,0,215
15,3229,1258086082,1,1,0,215
15,3229,1258086092,1,1,0,215
15,3229,1258086102,1,1,0,215
15,3229,1258086112,1,1,0,215
15,3229,1258086122,1,1,0,215
15,3229,1258086132,1,1,0,215
15,3229,1258086142,1,1,0,215
15,3229,1258086152,1,1,0,215
15,3229,1258086162,1,1,0,215
15,3229,1258086172,1,1,0,215
15,3229,1258086182,1,1,0,215
15,3229,1258086192,1,1,0,215
15,3229,1258086202,1,1,0,215
15,3229,1258086212,1,1,0,215
15,3229,1258086222,1,1,0,215
15,3229,1258086232,1,1,0,215
15,3229,1258086242,1,1,0,215
15,3229,1258086252,1,1,0,215
15,3229,1258086262,1,1,0,215
16,3229,1258059161,0,1,1,116
16,3229,1258059171,0,1,1,116
16,3229,1258059181,0,1,1,116
16,3229,1258059191,0,1,1,116
16,3229,1258059201,0,1,1,116
16,3229,1258059211,0,1,1,116
16,3229,1258059221,0,1,1,116
16,3229,1258059231,0,1,1,116
16,3229,1258059241,0,1,1,116
16,3229,1258059251,0,1,1,116
16,3229,1258059261,0,1,1,116
16,3229,1258059271,0,1,1,116
16,3229,1258059281,0,1,1,116
16,3229,1258059301,0,1,0,116
16,3229,1258059311,0,1,0,116
16,3229,1258059321,0,1,0,116
16,3229,1258059331,0,1,0,116
16,3229,1258059162,1,1,1,216
16,3229,1258059172,1,1,1,216
16,3229,1258059182,1,1,1,216
16,3229,1258059192,1,1,1,216
16,3229,1258059202,1,1,1,216
16,3229,1258059212,1,1,1,216
16,3229,1258059222,1,1,1,216
16,3229,1258059232,1,1,1,216
16,3229,1258059242,1,1,1,216
16,3229,1258059252,1,1,1,216
16,3229,1258059262,1,1,1,216
16,3229,1258059272,1,1,1,216
16,3229,1258059282,1,1,1,216
16,3229,1258059292,1,1,0,216
16,3229,1258059302,1,1,0,216
16,3229,1258059312,1,1,0,216
16,3229,1258059322,1,1,0,216
17,3229,1258069761,0,1,1,117
17,3229,1258069771,0,1,1,117
17,3229,1258069781,0,1,1,117
17,3229,1258069791,0,1,1,117
17,3229,1258069801,0,1,1,117
17,3229,1258069811,0,1,1,117
17,3229,1258069821,0,1,1,117
17,3229,1258069831,0,1,1,117
17,3229,1258069841,0,1,1,117
17,3229,1258069851,0,1,1,117
17,3229,1258069861,0,1,1,117
17,3229,1258069871,0,1,1,117
17,3229,1258069881,0,1,1,117
17,3229,1258069891,0,1,1,117
17,3229,1258069901,0,1,1,117
17,3229,1258069911,0,1,1,117
17,3229,1258069921,0,1,1,117
17,3229,1258069931,0,1,1,117
17,3229,1258069941,0,1,1,117
17,3229,1258069951,0,1,1,117
17,3229,1258069961,0,1,1,117
17,3229,1258069971,0,1,1,117
17,3229,1258069981,0,1,1,117
17,3229,1258069991,0,1,1,117
17,3229,1258070001,0,1,1,117
17,3229,1258070011,0,1,1,117
17,3229,1258070021,0,1,1,117
17,3229,1258070031,0,1,1,117
17,3229,1258070041,0,1,1,117
17,3229,1258070051,0,1,1,117
17,3229,1258070061,0,1,1,117
17,3229,1258070071,0,1,1,117
17,3229,1258089881,0,1,1,117
17,3229,1258089891,0,1,1,117
17,3229,1258089901,0,1,1,117
17,3229,1258089911,0,1,1,117
17,3229,1258089921,0,1,1,117
17,3229,1258089931,0,1,1,117
17,3229,1258089941,0,1,1,117
17,3229,1258089951,0,1,1,117
17,3229,1258089961,0,1,1,117
17,3229,1258089971,0,1,1,117
17,3229,1258089981,0,1,1,117
17,3229,1258089991,0,1,1,117
17,3229,1258090001,0,1,1,117
17,3229,1258090011,0,1,1,117
17,3229,1258090021,0,1,1,117
17,3229,1258090031,0,1,1,117
17,3229,1258090041,0,1,1,117
17,3229,1258090051,0,1,1,117
17,3229,1258090061,0,1,1,117
17,3229,1258090071,0,1,1,117
17,3229,1258090081,0,1,1,117
17,3229,1258090091,0,1,1,117
17,3229,1258090101,0,1,1,117
17,3229,1258090111,0,1,1,117
17,3229,1258090121,0,1,1,117
17,3229,1258090131,0,1,1,117
17,3229,1258090141,0,1,1,117
17,3229,1258069762,1,1,1,217
17,3229,1258069772,1,1,1,217
17,3229,1258069782,1,1,1,217
17,3229,1258069792,1,1,1,217
17,3229,1258069802,1,1,1,217
17,3229,1258069812,1,1,1,217
17,3229,1258069822,1,1,1,217
17,3229,1258069832,1,1,1,217
17,3229,1258069842,1,1,1,217
17,3229,1258069852,1,1,1,217
17,3229,1258069862,1,1,1,217
17,3229,1258069872,1,1,1,217
17,3229,1258069882,1,1,1,217
17,3229,1258069892,1,1,1,217
17,3229,1258069902,1,1,1,217
17,3229,1258069912,1,1,1,217
17,3229,1258069922,1,1,1,217
17,3229,1258069932,1,1,1,217
17,3229,1258069942,1,1,1,217
17,3229,1258069952,1,1,1,217
17,3229,1258069962,1,1,1,217
17,3229,1258069972,1,1,1,217
17,3229,1258069982,1,1,1,217
17,3229,1258069992,1,1,1,217
17,3229,1258070002,1,1,1,217
17,3229,1258070012,1,1,1,217
17,3229,1258070022,1,1,1,217
17,3229,1258070032,1,1,1,217
17,3229,1258070042,1,1,1,217
17,3229,1258070052,1,1,1,217
17,3229,1258070062,1,1,1,217
17,3229,1258070072,1,1,1,217
17,3229,1258089882,1,1,1,217
17,3229,1258089892,1,1,1,217
17,3229,1258089902,1,1,1,217
17,3229,1258089912,1,1,1,217
17,3229,1258089922,1,1,1,217
17,3229,1258089932,1,1,1,217
17,3229,1258089942,1,1,1,217
17,3229,1258089952,1,1,1,217
17,3229,1258089962,1,1,1,217
17,3229,1258089972,1,1,1,217
17,3229,1258089982,1,1,1,217
17,3229,1258089992,1,1,1,217
17,3229,1258090002,1,1,1,217
17,3229,1258090012,1,1,1,217
17,3229,1258090022,1,1,1,217
17,3229,1258090032,1,1,1,217
17,3229,1258090042,1,1,1,217
17,3229,1258090052,1,1,1,217
17,3229,1258090062,1,1,1,217
17,3229,1258090072,1,1,1,217
17,3229,1258090082,1,1,1,217
17,3229,1258090092,1,1,1,217
17,3229,1258090102,1,1,1,217
17,3229,1258090112,1,1,1,217
17,3229,1258090122,1,1,1,217
17,3229,1258090132,1,1,1,217
17,3229,1258090142,1,1,1,217
18,3229,1258137981,0,1,0,118
18,3229,1258137991,0,1,0,118
18,3229,1258138001,0,1,0,118
18,3229,1258138011,0,1,0,118
18,3229,1258138021,0,1,0,118
18,3229,1258138031,0,1,0,118
18,3229,1258138041,0,1,0,118
18,3229,1258138051,0,1,0,118
18,3229,1258138061,0,1,0,118
18,3229,1258138071,0,1,0,118
18,3229,1258138081,0,1,0,118
18,3229,1258138091,0,1,0,118
18,3229,1258138101,0,1,0,118
18,3229,1258138111,0,1,0,118
18,3229,1258138121,0,1,0,118
18,3229,1258138131,0,1,0,118
18,3229,1258138141,0,1,0,118
18,3229,1258138151,0,1,0,118
18,3229,1258138161,0,1,0,118
18,3229,1258138171,0,1,0,118
18,3229,1258138181,0,1,0,118
18,3229,1258138191,0,1,0,118
18,3229,1258138201,0,1,0,118
18,3229,1258138211,0,1,0,118
18,3229,1258138221,0,1,0,118
18,3229,1258138231,0,1,0,118
18,3229,1258138241,0,1,0,118
18,3229,1258138251,0,1,0,118
18,3229,1258138261,0,1,0,118
18,3229,1258138271,0,1,0,118
18,3229,1258138281,0,1,0,118
18,3229,1258138291,0,1,0,118
18,3229,1258138301,0,1,0,118
18,3229,1258138311,0,1,0,118
18,3229,1258138321,0,1,0,118
18,3229,1258138331,0,1,0,118
18,3229,1258138341,0,1,0,118
18,3229,1258138351,0,1,0,118
18,3229,1258138361,0,1,0,118
18,3229,1258138371,0,1,0,118
18,3229,1258138381,0,1,0,118
18,3229,1258140331,0,1,0,118
18,3229,1258140341,0,1,0,118
18,3229,1258140351,0,1,0,118
18,3229,1258140361,0,1,0,118
18,3229,1258140371,0,1,0,118
18,3229,1258140381,0,1,0,118
18,3229,1258140391,0,1,0,118
18,3229,1258140401,0,1,0,118
18,3229,1258140411,0,1,0,118
18,3229,1258140421,0,1,0,118
18,3229,1258140431,0,1,0,118
18,3229,1258137982,1,1,0,218
18,3229,1258137992,1,1,0,218
18,3229,1258138002,1,1,0,218
18,3229,1258138012,1,1,0,218
18,3229,1258138022,1,1,0,218
18,3229,1258138032,1,1,0,218
18,3229,1258138042,1,1,0,218
18,3229,1258138052,1,1,0,218
18,3229,1258138062,1,1,0,218
18,3229,1258138072,1,1,0,218
18,3229,1258138082,1,1,0,218
18,3229,1258138092,1,1,0,218
18,3229,1258138102,1,1,0,218
18,3229,1258138112,1,1,0,218
18,3229,1258138122,1,1,0,218
18,3229,1258138132,1,1,0,218
18,3229,1258138142,1,1,0,218
18,3229,1258138152,1,1,0,218
18,3229,1258138162,1,1,0,218
18,3229,1258138172,1,1,0,218
18,3229,1258138182,1,1,0,218
18,3229,1258138192,1,1,0,218
18,3229,1258138202,1,1,0,218
18,3229,1258138212,1,1,0,218
18,3229,1258138222,1,1,0,218
18,3229,1258138232,1,1,0,218
18,3229,1258138242,1,1,0,218
18,3229,1258138252,1,1,0,218
18,3229,1258138262,1,1,0,218
18,3229,1258138272,1,1,0,218
18,3229,1258138282,1,1,0,218
18,3229,1258138292,1,1,0,218
18,3229,1258138302,1,1,0,218
18,3229,1258138312,1,1,0,218
18,3229,1258138322,1,1,0,218
18,3229,1258138332,1,1,0,218
18,3229,1258138342,1,1,0,218
18,3229,1258138352,1,1,0,218
18,3229,1258138362,1,1,0,218
18,3229,1258138372,1,1,0,218
18,3229,1258138382,1,1,0,218
18,3229,1258140332,1,1,0,218
18,3229,1258140342,1,1,0,218
18,3229,1258140352,1,1,0,218
18,3229,1258140362,1,1,0,218
18,3229,1258140372,1,1,0,218
18,3229,1258140382,1,1,0,218
18,3229,1258140392,1,1,0,218
18,3229,1258140402,1,1,0,218
18,3229,1258140412,1,1,0,218
18,3229,1258140422,1,1,0,218
18,3229,1258140432,1,1,0,218
19,3229,1258117221,0,1,1,119
19,3229,1258117231,0,1,1,119
19,3229,1258117241,0,1,1,119
19,3229,1258117251,0,1,1,119
19,3229,1258117261,0,1,1,119
19,3229,1258117271,0,1,1,119
19,3229,1258117281,0,1,1,119
19,3229,1258117291,0,1,1,119
19,3229,1258117301,0,1,1,119
19,3229,1258117311,0,1,1,119
19,3229,1258117321,0,1,1,119
19,3229,1258117331,0,1,1,119
19,3229,1258117341,0,1,1,119
19,3229,1258117351,0,1,1,119
19,3229,1258117361,0,1,1,119
19,3229,1258117371,0,1,1,119
19,3229,1258117381,0,1,1,119
19,3229,1258117391,0,1,1,119
19,3229,1258117401,0,1,1,119
19,3229,1258117411,0,1,1,119
19,3229,1258117421,0,1,1,119
19,3229,1258117431,0,1,1,119
19,3229,1258117441,0,1,1,119
19,3229,1258117451,0,1,1,119
19,3229,1258117461,0,1,1,119
19,3229,1258117471,0,1,1,119
19,3229,1258117481,0,1,1,119
19,3229,1258117491,0,1,1,119
19,3229,1258117501,0,1,1,119
19,3229,1258117511,0,1,1,119
19,3229,1258117521,0,1,1,119
19,3229,1258117531,0,1,1,119
19,3229,1258117541,0,1,1,119
19,3229,1258117551,0,1,1,119
19,3229,1258117561,0,1,1,119
19,3229,1258117571,0,1,1,119
19,3229,1258117581,0,1,1,119
19,3229,1258117591,0,1,1,119
19,3229,1258117601,0,1,1,119
19,3229,1258117611,0,1,1,119
19,3229,1258117621,0,1,1,119
19,3229,1258117631,0,1,1,119
19,3229,1258117641,0,1,1,119
19,3229,1258117651,0,1,1,119
19,3229,1258117661,0,1,1,119
19,3229,1258117671,0,1,1,119
19,3229,1258117681,0,1,1,119
19,3229,1258117691,0,1,1,119
19,3229,1258117701,0,1,1,119
19,3229,1258117711,0,1,1,119
19,3229,1258117721,0,1,1,119
19,3229,1258117731,0,1,1,119
19,3229,1258117741,0,1,1,119
19,3229,1258117751,0,1,1,119
19,3229,1258117761,0,1,1,119
19,3229,1258117771,0,1,1,119
19,3229,1258117781,0,1,1,119
19,3229,1258117791,0,1,1,119
19,3229,1258117801,0,1,1,119
19,3229,1258117811,0,1,1,119
19,3229,1258117821,0,1,1,119
19,3229,1258117831,0,1,1,119
19,3229,1258117841,0,1,1,119
19,3229,1258117222,1,1,1,219
19,3229,1258117232,1,1,1,219
19,3229,1258117242,1,1,1,219
19,3229,1258117252,1,1,1,219
19,3229,1258117262,1,1,1,219
19,3229,1258117272,1,1,1,219
19,3229,1258117282,1,1,1,219
19,3229,1258117292,1,1,1,219
19,3229,1258117302,1,1,1,219
19,3229,1258117312,1,1,1,219
19,3229,1258117322,1,1,1,219
19,3229,1258117332,1,1,1,219
19,3229,1258117342,1,1,1,219
19,3229,1258117352,1,1,1,219
19,3229,1258117362,1,1,1,219
19,3229,1258117372,1,1,1,219
19,3229,1258117382,1,1,1,219
19,3229,1258117392,1,1,1,219
19,3229,1258117402,1,1,1,219
19,3229,1258117412,1,1,1,219
19,3229,1258117422,1,1,1,219
19,3229,1258117432,1,1,1,219
19,3229,1258117442,1,1,1,219
19,3229,1258117452,1,1,1,219
19,3229,1258117462,1,1,1,219
19,3229,1258117472,1,1,1,219
19,3229,1258117482,1,1,1,219
19,3229,1258117492,1,1,1,219
19,3229,1258117502,1,1,1,219
19,3229,1258117512,1,1,1,219
19,3229,1258117522,1,1,1,219
19,3229,1258117532,1,1,1,219
